Constitution,SUM(DB1),SUM(DB2),SUM(DB3),SUM(LOS),SUM(STD),SUM(SUB)
INDIVIDUAL- MALE,23515,18755,27236,5024,1216899,27941
INDIVIDUAL- FEMALE,2412,2301,3560,947,179198,3234
