X,Y,SUM(Correlation)
CAD,RvPrimary,0.011023084007862805
CAD,Unsecured,0.02944908083334635
CAD,CoverGovGur,0.0013745690599774594
CAD,DepValPlant,-0.00003119987727316338
CAD,ACCTotalProv,0.8055896861512964
CAD,BaselCatMark,0.059346061737268106
CAD,CURRENTLIMIT,0.26606634319347755
CAD,CurQtrCredit,0.0006715342800939408
CAD,DRAWINGPOWER,0.000044966258276238086
CAD,PREQTRCREDIT,-0.000037839685800559565
CAD,UnAdjSubSidy,-0.00003126022639102378
CAD,UnappliedInt,0.0040750612705225285
CAD,ProvUnsecured,0.033966954037760726
CAD,TotalWriteOff,0.00020300693203051674
CAD,AppropriatedRv,0.0032214859614796065
CAD,OrgCostOfEquip,0.005620258612744616
CAD,TotLimitFunded,0.2295421322655047
CAD,Cust_AssetClass,0.05779341581086596
CAD,LimitSanctioned,0.2988221960700059
CAD,PriCashSecurity,-0.00003086921374665122
CAD,CollCashSecurity,0.0006071709774219016
CAD,CollNonCRMSecurity,0.00021021407169242968
CAD,NextOneYrFacStatus,0.049720770331668475
CAD,OrgCostOfPlantMech,0.001516542926323798
UsedRv,Age,0.015862327537852317
UsedRv,CAD,0.37081520117696254
UsedRv,UsedRv,1
UsedRv,Balance,0.9863642394845118
UsedRv,Product,0.02682746011748659
UsedRv,TotOsNF,0.007621088174218325
UsedRv,AdhocAmt,0.030626991559713584
UsedRv,InttRate,0.08898903717137967
UsedRv,InttType,0.018968854743075175
UsedRv,TotalAdv,0.7845840312599219
UsedRv,CURQTRINT,0.7007539254924199
UsedRv,GLProduct,0.007305058613780525
UsedRv,PRVQTRINT,0.5959395581991915
UsedRv,RvPrimary,0.014521884168222749
UsedRv,Unsecured,-0.0068745409155616735
UsedRv,CoverGovGur,-0.000348663374272653
UsedRv,DepValPlant,0.005590533089257038
UsedRv,ACCTotalProv,0.47370460909900797
UsedRv,BaselCatMark,-0.0062695309908046715
UsedRv,CURRENTLIMIT,0.9466886116394239
UsedRv,CurQtrCredit,0.12909227953231914
UsedRv,DRAWINGPOWER,-0.00024065664715431284
UsedRv,PREQTRCREDIT,0.005170877199495364
