ACID,D2D,PD,EAD,LGD,K,RWA,Risk Wt,Res Exp,Provision
115219237_029351024129_2017-12-31,0.0,0.9968,1700000.0,0.9992,0.0032,67472.0,3.97,1.0,0.0
001784838_068713001007_2016-06-30,0.0,0.9974,1106016.0,0.898,0.0023,32452.0,2.93,17.0,2.0
103790307_034254031119_2017-09-30,0.0,0.9994,30000.0,0.9872,0.0006,220.0,0.73,71.0,7.0
115101943_183454031031_2017-09-30,0.0,0.9973,450000.0,0.9361,0.0025,13964.0,3.1,4.0,0.0
011155971_074554001004_2015-09-30,0.1,0.9725,378000.0,0.9667,0.0257,121232.0,32.07,-0.0,-0.0
006223019_061151000039_2017-09-30,0.0,0.9998,190328.0,1.0,0.0002,414.0,0.22,7.0,1.0
115273032_183454031033_2017-09-30,0.5,0.7958,182000.0,0.8786,0.1463,332941.0,182.93,11.0,1.0
008757254_059154000056_2016-03-31,0.0,0.9999,100000.0,0.9928,0.0001,73.0,0.07,18.0,2.0
008757269_059154000061_2018-03-31,0.0,0.9999,200000.0,1.0,0.0001,137.0,0.07,42.0,4.0
003329067_060354000108_2018-06-30,0.0,1.0,70000.0,0.9964,0.0,37.0,0.05,1.0,0.0
106041568_130254031328_2017-06-30,0.0,1.0,1250000.0,1.0,0.0,359.0,0.03,1.0,0.0
006223054_061151000061_2016-09-30,0.0,0.9999,246420.0,0.9569,0.0001,177.0,0.07,7.0,1.0
103919862_034213031075_2018-03-31,0.5,0.777,1689626.0,0.8169,0.1458,3080073.0,182.29,26.0,3.0
115544342_186454031010_2018-03-31,0.0,0.9823,2000000.0,1.0,0.0173,431619.0,21.58,1.0,0.0
002204256_064913001062_2016-09-30,0.0,0.9999,1043516.0,0.0,0.0,0.0,0.0,39.0,4.0
003329074_060354000114_2017-06-30,0.0,0.996,30000.0,1.0,0.0039,1479.0,4.93,59.0,6.0
008757309_059154000078_2016-09-30,0.0,0.9999,30000.0,0.9865,0.0001,35.0,0.12,66.0,7.0
113903464_127454032140_2017-06-30,0.2,0.9127,28000.0,0.8108,0.0645,22573.0,80.62,73.0,7.0
110785290_027254031356_2017-06-30,0.0,0.9936,200000.0,0.9148,0.0058,14505.0,7.25,10.0,1.0
100059552_060313023803_2018-03-31,0.0,0.9989,1073516.0,0.7821,0.0009,11985.0,1.12,177.0,18.0
104115010_060351024014_2018-03-31,0.0,0.9938,1000000.0,0.9959,0.0061,76766.0,7.68,2.0,0.0
108972728_148013031006_2017-06-30,0.0,0.9996,3669626.0,0.9677,0.0004,18354.0,0.5,0.0,0.0
009027799_062251000102_2017-03-31,0.0,0.9992,50000.0,1.0,0.0007,468.0,0.94,1577.0,157.0
007902703_086454001433_2017-03-31,0.0,0.9998,25000.0,0.9862,0.0002,59.0,0.23,107.0,11.0
011519960_034254001626_2017-06-30,0.0,0.9995,50000.0,0.9863,0.0005,293.0,0.59,38.0,4.0
114488910_061751023977_2017-09-30,0.5,0.7836,47200.0,0.989,0.1725,101752.0,215.58,45.0,4.0
100078251_060313023860_2015-12-31,0.0,0.999,1671626.0,1.0,0.001,20676.0,1.24,1.0,0.0
115818786_183454031044_2018-06-30,0.0,0.9766,300000.0,1.0,0.0227,85179.0,28.39,1.0,0.0
106095118_130254031308_2016-09-30,0.0,0.999,2500000.0,1.0,0.0009,29647.0,1.19,1.0,0.0
106099664_130254031296_2016-12-31,0.0,0.9998,1375000.0,0.9929,0.0002,2734.0,0.2,1.0,0.0
014140417_034613001050_2018-03-31,0.0,0.9871,1675626.0,0.6162,0.0078,163586.0,9.76,286.0,29.0
014140417_034613001050_2015-12-31,0.0,0.9967,1675626.0,0.6726,0.0022,46808.0,2.79,1.0,0.0
008436153_029354023841_2015-12-31,0.2,0.8891,2370000.0,0.5324,0.0527,1559913.0,65.82,1.0,0.0
008757348_059154000109_2018-03-31,0.0,0.9998,60000.0,1.0,0.0002,116.0,0.19,68.0,7.0
106126312_130254031282_2017-06-30,0.0,1.0,1150000.0,1.0,0.0,384.0,0.03,1.0,0.0
006223054_061151000061_2017-06-30,0.0,0.9999,246420.0,0.9605,0.0001,312.0,0.13,7.0,1.0
014140946_034654031084_2017-06-30,0.0,0.9931,200000.0,0.4527,0.0031,7697.0,3.85,29.0,3.0
115770543_186454031028_2016-09-30,3.9,0.1208,130000.0,0.641,0.0948,153974.0,118.44,12.0,1.0
003329120_060351000030_2018-03-31,0.0,1.0,34000.0,1.0,0.0,12.0,0.04,59.0,6.0
008757358_059151000003_2017-03-31,0.0,0.9953,1500000.0,0.8829,0.0041,76262.0,5.08,87.0,9.0
104411015_060354024088_2017-09-30,0.0,0.9997,200000.0,0.9984,0.0003,718.0,0.36,9.0,1.0
115839844_186454031077_2017-12-31,0.1,0.9554,1095094.0,0.9914,0.042,574529.0,52.46,17.0,2.0
