D2D,PD,Count,EAD,LGD,K,RWA,Risk Wt,Res Exp
0.0,0.9967887522828855,264467,554186898414.7052,0.9080606254231478,0.0026324071649307,14355875985.90253,2.5904394396490846,2558630133.38597
0.1,0.9570043924724524,28686,52719819691.41425,0.7579563368917468,0.0306850856667127,19549739681.467163,37.08233411247982,189437390.6610576
0.2,0.9078293210169344,12141,24636232053.060143,0.7168806864491776,0.0597722043860808,19103352190.176422,77.54169610447201,51036949.77221018
0.3,0.8632237866167827,7977,12849252898.456535,0.6972557773112815,0.0828949079973024,12508523243.574757,97.34825318192073,114140598.43081424
0.4,0.8203817987774362,6026,10179580862.002144,0.6800396327334727,0.1019945205079672,12766116218.82368,125.40905555823456,24602195.868399244
0.5,0.7806222284575327,4962,7258355300.871677,0.6768899680962496,0.1192412525809599,10236679926.961058,141.0330509134997,30579535.68380528
0.6,0.7417894489056355,4292,6161644454.963945,0.6621566488603922,0.1318655198308371,10760914456.098734,174.64354742879596,9435367.523246933
0.7,0.7048924265480832,3620,6298696614.230904,0.6699950632791984,0.1465190962450906,11449401237.490162,181.77413421726104,11100079.436790893
0.8,0.6697325592599407,3245,4068711481.8307776,0.6702438763085841,0.1576267626915397,7816818566.093985,192.120247429702,8937932.88199101
0.9,0.6364574613141232,2928,5254961622.724351,0.6537914827839381,0.1625776180853027,8557712003.099791,162.85013321682797,8687055.769836811
1.0,0.6041643047150433,2746,3909148002.978479,0.6610232335783678,0.171718325997924,8752438817.04269,223.8963275469229,11827968.803303156
1.1,0.5734413149963922,2431,3349034930.740347,0.6583447119788969,0.1768055343076642,7639662233.121437,228.11533445047084,10749615.38272468
1.2,0.5444341152081045,2347,2360224769.3546977,0.6566568509087831,0.1806744354583884,4764055559.385439,201.8475367787944,3867910.884512416
1.3,0.5169796739781298,2292,4685274704.907593,0.6609630358442515,0.1849741331514569,10057702528.62402,214.66622902791752,7963288.5579467155
1.4,0.4901899554911742,2132,3826487847.594078,0.6574081814431724,0.1859947951617285,10567095490.32145,276.15651509165406,7177200.316383691
1.5,0.4651587513041368,2057,2968895520.558696,0.6693588777398396,0.1903790753182335,6692389709.882975,225.41681455410665,5612512.938661016
1.6,0.4409772259338835,2005,2284953365.980154,0.6532924552650297,0.1858936014436382,5190256714.988665,227.149349840768,10240740.900393058
1.7,0.4177022518931625,1947,2649911493.620166,0.6584592167378112,0.1866261431676261,5882114129.973673,221.9739845702487,5211625.548874472
1.8,0.3960910034392897,1901,3897643088.9322753,0.6455549231681502,0.18157315319746,10053294620.416067,257.93266317696833,4696741.750447545
1.9,0.3751177662437661,1788,2216749317.1766715,0.6608300462142119,0.183756663897231,4619011035.8426285,208.3686684846061,3793098.1506686425
2.0,0.3549827629082915,1777,1734978768.4045002,0.6473368894018979,0.1773840201623391,3408729688.9041004,196.4709742263183,7104283.047325257
2.1,0.3363010890435144,1762,1563251434.5134528,0.663581050848292,0.178710523870283,3238552619.2625856,207.16773692074392,5331869.268135053
2.2,0.3182961121158818,1745,3009968474.77156,0.6599910052033557,0.1741804827052405,6161951117.646749,204.71812808984345,5202988.506011967
2.3,0.3012817560371242,1757,2241097699.801443,0.6495591155659843,0.1676156661012863,3962593282.845892,176.81483869252867,5997541.018994381
2.4,0.2847381666982065,1645,2990425086.429257,0.6624457506806516,0.1666496400575752,5663015241.065838,189.37158020660567,3966277.485768744
2.5,0.2693793584868346,1716,2800977183.4900584,0.6680545222633001,0.1635518446455291,5479363264.753459,195.62327380068453,2306150.7323203506
2.6,0.2546163795645846,1720,3511476282.431304,0.6701981931136309,0.1593700999709027,7001706434.685967,199.39495162524835,159772587.31779358
2.7,0.240657102390809,1657,7055635661.492645,0.67160441946058,0.154823786486255,14573390588.657509,206.54964751360836,3604361.9483850254
2.8,0.2273890152396612,1684,3768066918.550545,0.6816168131333452,0.1520998979200322,7731364169.622293,205.18118007830665,5668341.858070645
2.9,0.2147036827045294,1659,2488855184.3728228,0.6696771555330386,0.1443157307847384,4448312148.689343,178.72924775292992,18002432.048912115
3.0,0.2028775803955572,1626,3173883304.95862,0.6949224982152995,0.144559659312519,5513759318.456438,173.72281173167846,1872744.3225093884
3.1,0.1913091322026324,1531,3746000220.05592,0.6843230189062237,0.1370799891813617,6875233157.3030405,183.5353110897684,7228649.59123305
3.2,0.1806322525351925,1611,2072993337.5419812,0.6877946165292812,0.132714420827049,3301744330.700898,159.27423744718297,21457632.322419304
3.3,0.1703543417248875,1600,2464919980.236655,0.6848909227216791,0.1270810752927747,3760290827.220705,152.5522474307536,9088884.479351385
3.4,0.1604505049897797,1592,1867921960.714724,0.6988881876467755,0.1245840068451847,2670748693.5809536,142.9796720500595,6066640.752554838
3.5,0.1511988142547543,1631,3855132973.370798,0.6951613492980998,0.1190225640767026,5506550620.91946,142.83685307240435,3098161.3641738966
3.6,0.1424826496076056,1538,2114332360.5330613,0.6993929892841978,0.1150812051883519,3110156580.052427,147.0987550542101,4108768.031987869
3.7,0.1343342763914772,1463,2780605881.2527285,0.7134115560412275,0.1129212833559135,2780036142.555737,99.97951026785807,17657678.513103347
3.8,0.1264307085782165,1438,1453854942.5843174,0.7063391478211678,0.1074761010258339,1866594503.895153,128.38932201703463,150226.53800924125
3.9,0.1189418453948209,1490,4110547116.488024,0.6999224451064898,0.102487098001315,4224693246.6866503,102.77690844950467,2249364.705311251
4.0,0.111880980885876,1379,3014232124.5807104,0.7103078619724008,0.1001789328200289,3174250424.583744,105.30875836330264,3454239.0018344736
4.1,0.1052882693771532,1406,2122379230.828148,0.7116004421639013,0.0968903059909427,2278058392.244989,107.33512461654158,1775328.7195545095
4.2,0.0989504989036541,1378,2246276277.9448147,0.6974141292685803,0.0917426464800666,1464761880.7042675,65.20844720153578,2035660.3959426023
4.3,0.0930072131381304,1291,3541105081.307538,0.7081703992850215,0.0902341706712499,2195928963.522734,62.01253318107964,4454091.241265376
4.4,0.0873679496641611,1243,3999238220.481311,0.7247493337013415,0.0895834496724491,3845775591.3446474,96.162703478109,2450904.593475207
4.5,0.0819415071656935,1185,1466174522.241045,0.71488512018499,0.0858475159421154,1407514770.1356382,95.99912894300294,2398466.3653073176
4.6,0.0768281145706524,1139,1846528322.005276,0.7130185635850881,0.0833672747724903,1885219342.3346293,102.0953385804197,3393093.9787206454
4.7,0.0722900984829031,1197,2785860043.42196,0.7126413687346651,0.0814003718966872,3091994939.182549,110.98888282214472,1177209.9023609874
4.8,0.0677818323722661,1143,4813758042.664319,0.726084683002093,0.0810642231101675,5514537467.470712,114.55784479808472,4184358.30332902
4.9,0.0634970536574404,1081,1242520559.4678063,0.7167657784065526,0.0783258430121584,1014292780.2503144,81.6318709997647,1067716.0122520835
5.0,0.059543677710908,1071,2868116113.3468585,0.7341598220384005,0.0786602301378561,1637445595.388594,57.0913286170213,6443909.496269833
5.1,0.0557322365516988,983,1373438647.4703932,0.7243555167910922,0.0761496851037414,1320818001.4172938,96.16869336318616,3829448.740426855
5.2,0.0522468219434155,979,2554720245.1906385,0.7387422834884754,0.0762797301806121,2402785520.2178497,94.05278424286136,5132017.5321326405
5.3,0.0488039702058533,943,3725192582.8913126,0.7451035458100012,0.0755476543624805,2475382908.2962694,66.4497969759995,4966065.7387439655
5.4,0.0457300471902733,923,1538074591.502107,0.7422637661107622,0.0739789727603407,925855636.066986,60.19575651157345,1006303.7298949924
5.5,0.042750818646653,904,1071606172.3727424,0.7572954486251579,0.0741372365354405,962180387.103354,89.78861935564456,2001897.1926198956
5.6,0.0399428378618401,822,2042804051.0331163,0.7552194045835351,0.0725993337627352,1477085885.4628873,72.30678266551675,2687558.4440220427
5.7,0.0373108138758844,841,1228049379.4510074,0.7674235693747236,0.0723773373862721,931475828.0651633,75.85003043457212,1935749.5100723165
5.8,0.0348394454651793,774,1081165547.0726027,0.7664443160987366,0.0708476614771109,968465977.3155344,89.57610422731123,183795.49021349152
5.9,0.0324548183716186,806,5654097494.223783,0.7686297752963862,0.0695134388932121,3560419343.7398505,62.970604015533326,310757.27939365344
6.0,0.0303158423579905,736,1501974426.0932262,0.7783520394398732,0.06883174062658,1167396407.2421083,77.72412012890352,7179446.18630926
6.1,0.0282770579649669,718,3645219188.0916166,0.7711260008542509,0.0665395734812188,2622764400.739702,71.95080090952773,845434.4321723606
6.2,0.0263515608103838,662,1347370725.1775362,0.7804524644191909,0.0656030886299238,1071132172.669742,79.4979549914597,2661870.208800173
6.3,0.0245447903351244,716,2220307400.212763,0.7856204288172036,0.0641714853136957,1539310367.0126746,69.32870497414767,1018707.9231447123
6.4,0.0228291054816122,697,1498354345.7444074,0.7810654971944885,0.0618309217318443,989872351.7382944,66.06396908379568,3436476.296075262
6.5,0.0212816433655924,676,4351327603.874891,0.7969702856175442,0.0610895369184561,1962852338.950113,45.10927509117396,1740677.840850702
6.6,0.0197835548190335,634,1298130801.2838936,0.7931884081319213,0.0586588812178503,779260366.4662557,60.02941812146679,228049.0761308676
