GL,Age,CAD,Area,CADU,Caste,Scheme,UsedRv,Balance,Product,TotOsNF,Activity,AdhocAmt,District,InttRate,InttType,Religion,TotalAdv,AppGovGur,CURQTRINT,GLProduct,PRVQTRINT,RvPrimary,SubSector,Unsecured,Occupation,TotLimitNF,CoverGovGur,DepValPlant,FORMATGROUP,ACCTotalProv,BaselCatMark,CURRENTLIMIT,Constitution,CurQtrCredit,DRAWINGPOWER,FACILITYTYPE,PREQTRCREDIT,ProcessingDt,UnAdjSubSidy,UnappliedInt,ProvUnsecured,TotalWriteOff,AppropriatedRv,CUSTOMERSTATUS,OrgCostOfEquip,TotLimitFunded,Cust_AssetClass,LimitSanctioned,PriCashSecurity,CollCashSecurity,FACILITIESSTATUS,CollNonCRMSecurity,NextOneYrFacStatus,OrgCostOfPlantMech
TL - TO OTHR PRIOR,60,3155,URBAN,44251.61,DATA / VALUE NOT PROVIDED,ANY OTHER,89955,89954,561,0,AUTO RICKSHAWS – 6 SEATER,2741.8165798845084,GANDHINAGAR,12.8,0,DATA / VALUE NOT PROVIDED,89954,0,0,370,0,142650,SERVICES - MEDIUM ENTERPRISES-NPS,0,DATA / VALUE NOT PROVIDED,0,0,0,C,89955,1,124000,INDIVIDUAL- MALE,0,124000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,1102,0,0,142650,DB3,1242650,124000,5,124000,0,0,DB3,0,1,0
TL - TO SSI,47.3604653021062,49082,URBAN,475572.71,DATA / VALUE NOT PROVIDED,COLLATERAL FREE LOANS UNDER SSI,2093396,2093396,226,0,POWER LOOMS,2741.8165798845084,KOLHAPUR,13.4,0,DATA / VALUE NOT PROVIDED,2566645,0,0,287,0,5973421,MANUFACTURING - SMALL ENTERPRISES,0,DATA / VALUE NOT PROVIDED,0,0,0,C,2093396,1,2000000,PROPRIETORSHIP,0,2000000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,4872016,DB3,0,2500000,5,2000000,0,0,DB3,0,1,3000000
TL - TO AGRICULTURE,34,0,SEMI-URBAN,3811,SC,ANY OTHER STATE GOVT. FUNDED SCHEME,59813,59813,537,0,COWS,2741.8165798845084,KHEDA,10.5,0,HINDU,59813,0,0,327,0,150000,AGRICULTURE - LONG TERM,0,FARMER,0,0,0,C,150,0,150000,INDIVIDUAL- MALE,0,150000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,150000,STD,0,150000,1,150000,0,0,STD,0,0,0
CC-RETAIL,47.3604653021062,0,METROPOLITAN,0,GENERAL,ANY OTHER,25480858,25480858.47,713,0,"IRON ANGELS, TOR STEEL",0,PUNE,16.05,0,HINDU,25480858.47,0,816082,189,734953,78148551,SERVICES - MEDIUM ENTERPRISES-NPS,0,BUSINESSMAN / TRADER,0,0,0,B,63702,0,30000000,PROPRIETORSHIP,72858947,30000000,CC,75766409,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,88160551,STD,0,30000000,1,20000000,0,0,STD,10012000,0,0
TL - TO AGRICULTURE,50,0,RURAL,12595,GENERAL,ANY OTHER,26368,26368,537,0,SHE BUFFALO,2741.8165798845084,GANDHINAGAR,10.5,0,HINDU,26368,0,0,327,0,75000,AGRICULTURE - LONG TERM,26368,DATA / VALUE NOT PROVIDED,0,0,0,C,26368,1,75000,INDIVIDUAL- MALE,0,75000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,26368,0,75000,LOS,0,75000,6,75000,0,0,LOS,0,1,0
TL - TO SSI,47.3604653021062,160716,URBAN,553329.2,DATA / VALUE NOT PROVIDED,COLLATERAL FREE LOANS UNDER SSI,713230,713229,226,0,POWER LOOMS,2741.8165798845084,KOLHAPUR,13.4,0,DATA / VALUE NOT PROVIDED,713229,0,0,287,0,1650000,MANUFACTURING - MICRO ENTERPRISES,0,DATA / VALUE NOT PROVIDED,0,0,0,C,285292,1,1200000,PROPRIETORSHIP,0,1200000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,1650000,DB2,0,1200000,4,1200000,0,0,DB2,0,1,1650000
CC-AGRICULTURE ACTIVITIES,39,0,SEMI-URBAN,0,OBC,KISAN CREDIT CARD,127027,127027,197,0,COTTON,0,NANDED,7,0,HINDU,127027,0,21191,205,16220,300000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,318,0,146000,INDIVIDUAL- MALE,1035,121000,CC,228770,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,300000,STD,0,146000,1,146000,0,0,STD,0,0,0
DL - TO SSI SECTOR,45,0,METROPOLITAN,0,DATA / VALUE NOT PROVIDED,PMMY,6242,6242.37,587,0,ANY OTHER SERVICE,2741.8165798845084,PUNE,11,0,DATA / VALUE NOT PROVIDED,6242.37,0,0,446,0,66500,SERVICES - MICRO ENTERPRISES,0,DATA / VALUE NOT PROVIDED,0,0,0,C,16,0,50000,INDIVIDUAL- MALE,0,50000,DL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,66500,STD,50000,50000,1,50000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,60,0,SEMI-URBAN,0,CASTE NOT DECLARED,DENA KIASN CRESDIT CARD– PAIS,151113,151113,283,0,VEGETABLES-MIXED,0,GANDHINAGAR,9.728205136408748,0,HINDU,277085.16,0,6300,194,17103,4400000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,378,0,200000,INDIVIDUAL- MALE,170731,156000,CC,309559,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,2399605,STD,0,790000,1,200000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,50,0,RURAL,0,GENERAL,KISAN CREDIT CARD,114815,114815.07,283,0,SUGARCANE,0,KOLHAPUR,7,0,HINDU,114815.07,0,19374,194,31443,250000,AGRICULTURE - SHORT TERM,0,OTHERS,0,0,0,B,287,0,100000,INDIVIDUAL- MALE,4338,100000,CC,505741,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,250000,STD,0,100000,1,100000,0,0,STD,0,0,0
