D2D,PD,Count,EAD,LGD,K,RWA,Risk Wt,Res Exp
2.2,0.41762315144964085,157,146189444.60925272,0.8818445423481523,0.2499576507199036,432413396.5239873,295.78975259108324,402813.9251408585
2.3,0.40096379040244096,167,152584509.21066645,0.8969601310268853,0.25282219341468,460081907.3066138,301.52596071951166,4594.123983603109
2.4,0.385113238885596,148,142034091.96684942,0.876761008471304,0.2452631752449757,415595254.2111695,292.60246498296266,11738.892115882023
2.5,0.36802403086068614,151,147299324.9775796,0.9069403348236563,0.2510222080001233,444899052.2063801,302.0374005611351,24106856.749603562
2.6,0.3531139498949051,150,148760090.8249375,0.8718737845138336,0.238535653340338,424439720.46609974,285.31827193194243,96896.16789453477
2.7,0.33890838500780934,117,117843555.09920163,0.8952703472670505,0.24177474069987948,343664470.1149394,291.62771763431607,7985.506834197581
2.8,0.3252625600666019,141,158168743.75922906,0.8697942918949225,0.231498662942873,409807273.1805595,259.09497884385104,295365.23345381994
2.9,0.3109301165358661,146,156845375.201141,0.8657752525696072,0.2264003712170994,413142918.5123044,263.4077785095566,57263.484142974725
3.0,0.297410779274427,130,197431931.86065584,0.8919502786575602,0.22885136074906418,573056108.6677992,290.2550277795249,37256.41602653515
3.1,0.28554672863748337,135,139098957.150417,0.9175475684483967,0.23112080462599924,393332026.8192443,282.7713700210621,5975.3180120422285
3.2,0.2736994152267774,156,142744515.31160185,0.9077012676306111,0.22401016738875307,384406242.30105054,269.29668118030116,268088.9484393245
3.3,0.2615106775856658,149,142916282.5696899,0.9124856817656378,0.22007666972420117,375840971.950811,262.97981251194426,10665.081092700882
3.4,0.25118100664294357,141,121301028.76278293,0.9260737723431464,0.21858568815190663,322296449.6656376,265.69968363246335,267279.3330072022
3.5,0.24043824907173128,136,138231496.49229467,0.9094297468554406,0.20956754911803835,354038636.3059453,256.1200922292556,169799.5305448278
3.6,0.22935980319414498,106,101625073.70394723,0.89955896563951,0.20176579165753042,248445439.8123206,244.472580198159,26320177.6787071
3.7,0.21955374797352223,119,303980036.06013006,0.9106909766257154,0.19894700900583687,349962213.20545256,115.12670955017151,165655.58587336712
3.8,0.20998567061407583,143,139921554.91519,0.8980664006854453,0.19085715843035106,328476691.12419754,234.75774788473123,14146.44870210033
